------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile

Detailed RTL Component Info :
-----Add :
               Total_Num :115
-----Sub :
               Total_Num :62
-----AddSub :
               Total_Num :0

Add_Sub_AddSub: Initial Mapping Report :
|----------------------------------------------------------------|---------|---------|---------|------------------------------------------------------------------------------------------------------------------------------------------------|
|Module Name                                                     |Type     |Count    |Number   |Location/Inst Name                                                                                                                              |
|----------------------------------------------------------------|---------|---------|---------|------------------------------------------------------------------------------------------------------------------------------------------------|
|Briey                                                           |Add      |6        |1        |../briey_ddr.v:1769                                                                                                                             |
|----------------------------------------------------------------|---------|---------|---------|------------------------------------------------------------------------------------------------------------------------------------------------|
|PRE_PASS_LOOP[0].timing_pre_pass                                |Add      |5        |1        |../ipcore/DDR3_briey/rtl/mcdq_ctrl/syn_mod/ipsxb_mcdq_timing_pre_pass_v1_2.vp:187                                                               |
|----------------------------------------------------------------|---------|---------|---------|------------------------------------------------------------------------------------------------------------------------------------------------|
|PRE_PASS_LOOP[0].timing_pre_pass                                |Add      |6        |1        |../ipcore/DDR3_briey/rtl/mcdq_ctrl/syn_mod/ipsxb_mcdq_timing_pre_pass_v1_2.vp:190                                                               |
|----------------------------------------------------------------|---------|---------|---------|------------------------------------------------------------------------------------------------------------------------------------------------|
|PRE_PASS_LOOP[0].timing_pre_pass                                |Sub      |4        |1        |axi_DDRram/myddr/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/PRE_PASS_LOOP[0].timing_pre_pass/N88_8                                        |
|----------------------------------------------------------------|---------|---------|---------|------------------------------------------------------------------------------------------------------------------------------------------------|
